Ano,Pesquisa,Trimestre,Sigla,Código,Região,Informalidade - homem,Informalidade - mulher,Força de trabalho - homens ,Força de trabalho - mulheres ,Ocupados - homens ,Ocupados - mulheres ,Desocupados - homens ,Desocupados - mulheres ,Fora da força de trabalho - homens ,Fora da força de trabalho - mulheres 
2023,Base 01,T1,CO,5,Região Centro-oeste,"36,6",33,"56,8","43,2","57,8","42,2","43,5","56,5",34,66
2023,Base 01,T1,N,1,Região Norte,"57,8","50,8","58,9","41,1","60,2","39,8","45,8","54,2","35,2","64,8"
2023,Base 01,T1,NE,2,Região Nordeste,"53,9","48,6","57,8","42,2",59,41,"48,5","51,5","36,3","63,7"
2023,Base 01,T1,S,4,Região Sul,"31,7","28,7","55,9","44,1","56,5","43,5","44,7","55,3","36,4","63,6"
2023,Base 01,T1,SE,3,Região Sudeste,34,33,55,45,"55,8","44,2","45,5","54,5","35,4","64,6"
2023,Base 01,T2,CO,5,Região Centro-oeste,"36,1","33,9","56,4","43,6","57,1","42,9","44,6","55,4","33,6","66,4"
2023,Base 01,T2,N,1,Região Norte,"57,3","50,2","58,9","41,1","59,9","40,1","47,9","52,1","34,9","65,1"
2023,Base 01,T2,NE,2,Região Nordeste,"53,4",48,"57,9","42,1","58,9","41,1","49,6","50,4","36,3","63,7"
2023,Base 01,T2,S,4,Região Sul,"31,3","30,1","55,6","44,4",56,44,"47,5","52,5","36,6","63,4"
2023,Base 01,T2,SE,3,Região Sudeste,"34,6","33,7","55,2","44,8","55,9","44,1","47,4","52,6","35,2","64,8"
2023,Base 01,T3,CO,5,Região Centro-oeste,"35,7","33,8","56,5","43,5","57,2","42,8","44,9","55,1","33,2","66,8"
2023,Base 01,T3,N,1,Região Norte,"55,2","49,3","59,6","40,4","60,5","39,5","49,5","50,5","34,5","65,5"
2023,Base 01,T3,NE,2,Região Nordeste,"54,5","47,9","57,6","42,4","58,7","41,3","48,3","51,7","36,1","63,9"
2023,Base 01,T3,S,4,Região Sul,31,30,"55,7","44,3","56,1","43,9",46,54,"36,5","63,5"
2023,Base 01,T3,SE,3,Região Sudeste,"34,2","33,8","55,2","44,8",56,44,46,54,"35,2","64,8"
2023,Base 01,T4,CO,5,Região Centro-oeste,"35,8","34,2","56,5","43,5","57,3","42,7","42,5","57,5","33,7","66,3"
2023,Base 01,T4,N,1,Região Norte,"54,7","49,5","59,2","40,8","60,2","39,8","47,4","52,6","35,1","64,9"
2023,Base 01,T4,NE,2,Região Nordeste,"54,1","48,3","57,5","42,5","58,7","41,3","47,8","52,2","35,8","64,2"
2023,Base 01,T4,S,4,Região Sul,"31,3","29,9","55,5","44,5",56,44,"44,9","55,1","36,8","63,2"
2023,Base 01,T4,SE,3,Região Sudeste,"34,5","33,9","55,1","44,9",56,44,"44,4","55,6","34,9","65,1"